rank display,institution,location code,location,size,focus,research,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,SUS SCORE,SUS RANK,Overall Score
1,Massachusetts Institute of Technology (MIT) ,United States,Americas,M,CO,VH,B,100,4,100,2,100,11,100,9,99.3,100,86.8,143,96,58,100,8,99,15=,100
2,Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100,66,99.6,44,97.4,34,93.4,61,99.7,6,98.5
3,University of Oxford,United Kingdom,Europe,L,FC,VH,A,100,2,100,5,100,8,84.8,93,98.1,120,97.7,73,100,1,100,3,85,126,96.9
4,Harvard University,United States,Americas,L,FC,VH,B,100,1,100,1,96.3,53,100,1,74.1,269,69,215,99.6,5,100,1,84.4,130,96.8
5,University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100,3,100,4,100,17,84.6,96,100,73,94.8,98,99.3,10,100,5,84.8,127=,96.7
6,Stanford University,United States,Americas,L,FC,VH,B,100,5,100,3,100,12,99,27,70.3,284,60.8,244,96.8,45,100,2,81.2,148=,96.1
7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19,87.2,57,65.9,199,97.9,35,100,25,98.6,63,95.7,64,90.5,73,98.8,18,93.9
8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15,91.1,48,68.8,189,93.1,61,100,41,88.9,129,91.6,146,100,6,97.7,26=,93.7
9,UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14,98.3,18,95.9,56,72.2,145,99,106,100,21,99.9,2,70.3,157,74.8,190=,91.6
10,California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29,95.3,33,100,4,100,5,100,65,79.8,172,65.5,549,31,407,62.5,253,90.9
11,University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31,91.9,45,99.8,28,74,138,90.9,188,66.2,226,91.9,137,100,7,93,71,90.3
12,"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,A,100,6,100,6,23.5,615,98.2,33,91.5,182,61,242,97.2,39,98.4,23,100,2,90.1
13,The University of Melbourne,Australia,Oceania,XL,FC,VH,A,98.5,21,93.9,39,15.4,701+,93,62,95.1,148,99.8,39,97.4,33,96.5,39,99.6,9,88.9
14,Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13,96.6,28,92.6,75,97.7,40,50.3,365,23.6,497,79.8,329,94.2,56,46.9,330=,88.5
15,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,L,FC,VH,A,91.9,42,73.3,92,80.6,130,92.4,66,100,42,83.5,160,89.4,178,83.9,104,95.6,50=,88.4
16,Cornell University,United States,Americas,L,FC,VH,B,98.3,25,93.1,42,52.7,289,97.5,43,54.2,347,63.4,237,94,99,97.1,34,72.1,208=,87.9
17,The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27,59.4,135,81.2,124,86.4,89,100,33,99.3,52,81.4,300,99.7,14,89.2,101=,87.6
18,The University of Sydney,Australia,Oceania,XL,FC,VH,A,96.4,30,90,51,10.9,701+,93.7,56,99.9,87,100,17,95.8,61,93.1,63,99.6,7,87.3
19,The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,A,90.5,43,90.4,50,20.6,660,94.9,49,100,57,99.4,48,98.3,20,97.7,29,99.2,11=,87.1
20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95,62,99.1,26,18.1,623,13.4,654,79.2,337,92.3,68,40.4,363=,86.5
21,University of Chicago,United States,Americas,L,FC,VH,B,99.1,17,96.4,29,94.2,69,60.8,197,79,244,87,140,85.1,245,99.1,16,46.9,330=,86.2
22,Princeton University,United States,Americas,M,CO,VH,B,99.8,10,98.3,19,57,258,100,3,9.6,701+,56.6,264,78.3,354,95.7,48,51.5,312,85.5
23,Yale University,United States,Americas,L,FC,VH,B,99.9,9,99.9,7,100,3,38.6,363,91.5,181,63.3,238,93.9,100,98.5,21,92.2,76=,85.2
24,UniversityPSL,France,Europe,L,CO,VH,A,74.4,81,97.6,23,98.1,46,87.6,85,62.3,315,65,230,99.8,3,97.1,33,73.4,197,84.7
25,University of Toronto,Canada,Americas,XL,FC,VH,A,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100,1,84.1
26,EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56,67.2,111,91.2,80,93.6,57,100,28,100,14,81.7,291,27.2,440,86.7,114=,83.5
27,The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24,97.2,24,65.5,201,47.7,282,98.7,111,99.8,41,99.5,7,55.9,222,99,15=,83.3
28,Technical University of Munich,Germany,Europe,XL,FO,VH,A,83,61,98.6,17,76.8,155,75.9,133,80.4,236,98.6,64,95.6,68,34.5,365,93.1,70,83.2
29,McGill University,Canada,Americas,L,FC,VH,A,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,83
30,The Australian National University,Australia,Oceania,L,FC,VH,A,93.8,36,75.4,85,34.6,457,84.6,97,100,52,96.2,89,91.4,151,56.6,216,97.1,30=,82.4
31,Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701+,16.9,586,73.2,435,100,4,96,46=,82.3
32,Johns Hopkins University,United States,Americas,L,FC,VH,B,86,53,62.6,129,100,7,84.2,99,63.7,307,95.8,92,98.7,15,71.5,152,61.9,258=,82.1
33,The University of Tokyo,Japan,Asia,L,FC,VH,A,100,7,99.8,9,89.3,89,57.3,215,10.1,701+,29.7,432,87.4,207,99.9,10,98.3,22,82.1
34,Columbia University,United States,Americas,XL,FC,VH,B,99.6,12,98.8,15,100,16,31.7,417,41.5,413,97,79,98.5,19,99.9,9,71.8,211=,82
34,The University of Manchester,United Kingdom,Europe,XL,FC,VH,A,95.6,33,98.1,20,51.3,297,45.1,307,93.1,169,99.2,55,99.2,12,87.6,90,99.8,3,82
36,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51,53.3,159,64.2,212,92.9,64,100,58,87.5,137,74.2,419,89,82,86.7,114=,81.3
37,Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47,79.6,78,9.4,701+,87.6,84,100,59,100,24,94.8,81,79.4,126,98.2,23,81.2
38,University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
39,Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54,87.8,55,79.7,140,80.7,107,88.4,201,35.1,390,67.2,519,64.4,183,82.7,142,80.3
40,King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44,85.7,64,64.3,210,53.6,238,99.1,103,99.5,47,98.6,17,59.8,205,96.2,44=,80.2
41,The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50,74,89,21.2,653,90.2,75,100,54,100,23,96.7,47,56.7,214,96.7,36,80.2
42,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100,8,99.8,8,35.4,448,74,137,42.2,407,22.3,515,95.5,69,94.7,53,67.1,232=,79.8
43,New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32,98.8,14,90.5,83,28.6,453,30.2,492,98.1,68,92.6,126,98.4,22,95.4,55=,79.6
44,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299,39.2,359,95.8,63,94.5,55,62.2,254=,79
45,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84,57,86.3,62,58.6,251,99.6,17,23.1,558,19.6,553,73.7,424,73.5,144,80.3,154,77.8
46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189,99.6,10,95.9,55,86.1,92,99.1,104,98,71,89.6,173,97.7,31,54.8,289=,77.5
47,The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68,50.3,179,56.7,261,99.7,16,100,22,95.4,94,46.7,701+,65.4,180,77.6,170=,77.1
47,Zhejiang University,China (Mainland),Asia,XL,FC,VH,A,75.3,79,95.4,32,54.7,277,99.5,19,95,149,15.9,608,91.8,138,55.5,224,30.7,440=,77.1
49,Delft University of Technology,Netherlands,Europe,L,CO,VH,A,74.4,82,83,66,39.4,396,79.7,110,100,69,91.4,117,93.7,105,54.8,227,99.1,14,77
50,Kyoto University,Japan,Asia,L,FC,VH,A,98.8,18,99,13,94.2,68,39.3,357,15.9,653,19,566,85.7,236,72.8,147,85.2,124=,76
50,Northwestern University,United States,Americas,L,FC,VH,B,84,58,68,107,97.6,48,67.7,161,45.4,393,52,283,89.4,179,96.8,37,55.4,285=,76
50,The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,SP,VH,A,67.2,101,97,26,35.1,452,69.4,158,100,40,100,12,81.2,305,99.6,15,91.3,85,76
53,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,M,CO,VH,A,87.7,48,91,49,60.2,238,96.2,46,21.1,587,10.9,701+,46.8,701+,63.3,187,60.3,268,75.7
54,University of Bristol,United Kingdom,Europe,L,FC,VH,A,75.8,78,82.5,69,36.7,437,75.9,134,87.5,206,89.8,121,94.6,84,51.2,250,98.9,17,75.4
55,University of Amsterdam,Netherlands,Europe,XL,FC,VH,A,83.8,60,52.1,163,21.4,648,92.2,67,96,139,87.5,138,96.3,50,79.8,124,38.2,384=,73.7
56,Yonsei University,South Korea,Asia,L,FC,VH,B,81.5,67,97,25,84.2,112,44.1,312,20.7,590,51.2,287,78.7,343,87.8,88,88.9,103=,72.9
